f_food_id,f_food_name,f_class_name,f_food_desc,f_food_qty,f_food_price
f20001,Good day 特製吐司,西式料理,,1,250
f63001,澳洲沙朗起司吐司堡,其他,製作過程速度要快，溫度維持好口感升級。,1,160
f17001,營養果汁,早餐,將水果洗淨之後、將其與些許芝麻粉、蜂蜜倒入果汁機中攪拌即可。,1,80
f50002,新鮮時蔬沙拉,中式料理,,1,110
f56001,番茄蛋什錦味噌湯,小菜,,0,4
f56002,蔥花紅蘿蔔 絲炒蛋,中式料理,,0,2
f04601,香蕉牛奶,其他,,0,1
f04602,芭樂牛奶,其他,,0,1
f03002,咖啡凍,小點心,水滾後加入咖啡凍 要一直攪拌才不會燒焦,5,25
f56004,馬鈴薯泥沙拉,西式料理,建議將製成的馬鈴薯沙拉冰過,風味更加,1,65
f56001,宮保雞丁,中式料理,起鍋前加入適量白醋，可使香辣氣味倍增。,2,70
f09001,鮪魚沙拉起司三明治,西式料理,,1,150
f24001,糖醋魚,中式料理,,4,90
f31001,超值經典法式厚片吐司,其他,,1,180
f60001,蔥燒魚柳,中式料理,MAGIC,2,50
f38001,海鮮麵,中式料理,,4,150
f34001,三杯雞,中式料理,,1,150
f48001,馬鈴薯燉肉,中式料理,食材軟硬度可依個人喜好自動調配烹煮時間,4,70
f21001,玉米濃湯,其他,,6,60
f03001,焗烤鮪魚玉米沙拉吐司,西式料理,,1,125
f07001,滿天星,甜點,,1,120
f70001,蜂蜜鬆餅,甜點,,1,45
f62001,鹹蛋炒苦瓜,中式料理,苦瓜滾熟再炒比較快,5,50
f64001,九層塔炒蛤蠣,中式料理,,5,100
f67001,番茄肉醬義大利麵,西式料理,加入起司片和牛奶使味道更濃郁,1,120
f59001,雞肉白醬焗烤燉飯,西式料理,,1,220
f22001,三杯杏鮑菇,中式料理,skill,3,100
f33001,美國,西式料理,,1,130
f68001,咖啡,其他,煮的時候只能攪一次(打散咖啡粉) 煮的時間不超過40秒,1,50
f30001,芋頭鬆餅、乳酪水果沙拉、芋頭伯爵拿鐵,其他,,1,200
f29001,義式蔬菜番茄湯,其他,滾久一點會比較濃 菜比較入味,10,150
f16001,火腿起司蛋三明治,其他,,1,109
f37001,味噌湯,日式料理,魚肉不要煮太久,10,19
f19001,梅子里肌,中式料理,,5,100
f01001,玉米濃湯,西式料理,,1,99
f69001,紅醬鮮蔬雞肉燉飯,西式料理,使用隔夜飯製作燉飯能使口感更有嚼勁,1,199
f66002,德式,其他,趁熱吃!,1,130
f14001,炸花枝,小點心,,4,50
f40002,薑絲鮮蚵湯,中式料理,,4,30
f4501,蒸蛋,小菜,將蛋放入鍋子裡蒸,2,100
f05001,香蕉蜂蜜鬆餅,甜點,鬆餅機勿一直翻開查看，容易破壞鬆餅外觀。,1,130
f10001,粉紅乳酪水果吐司,甜點,,1,125
f04001,蛋拌湯烏龍麵,日式料理,若使用昆布及柴魚熬製高湯風味更佳!,1,90
f12001,鮮蔬南瓜燉飯,西式料理,,10,80
f32002,泡菜佐烏龍麵,日式料理,,1,90
f36001,堅果OREO布朗尼,甜點,,8,50
f58001,義式厚片土司,小點心,,1,150
f51001,麻油炒腰子,中式料理,,1,150
f15002,法式起司肉鬆,小點心,,1,100
f27001,清蒸大閘蟹,中式料理,,5,150
f45001,蛤蜊白蘿蔔湯,中式料理,,5,100
f13001,OREO巧克力蜜糖吐司,甜點,,1,180
f43001,日本,其他,,1,130
f44001,蔥爆羊肉,中式料理,,0,0
f40001,芹菜海鮮總匯,中式料理,,5,60
f57001,焗烤馬鈴薯,西式料理,,10,65
f55001,蜆仔蒜頭雞,中式料理,,2,120
f42001,韓國,其他,,1,130
f35001,經典布朗尼,甜點,,8,70
f25001,Cheese Cake,蛋糕,,8,90
f52001,涼拌小黃瓜,小菜,magic,4,25
f17001,咖哩拌烏龍麵,日式料理,,6,56
f47001,蘋果鬆餅,甜點,,5,50
f54001,三杯雞肉,中式料理,細心，耐心，愛心。,5,40
f26001,歐姆蛋,西式料理,蛋要一直攪拌,0,50
f41001,焦糖布丁,甜點,焦糖要小心注意別燒焦，蛋液過濾會讓布丁口感更綿密,37,50
f32003,玉子燒,小菜,,1,30
f38002,金針炒白菜,中式料理,,4,100
f18001,炸排骨,中式料理,,4,60
f37002,咖哩豬排飯,日式料理,馬鈴薯和胡蘿蔔要入味，豬排不要炸太久會老掉,5,110
f14002,茶碗蒸,小點心,,3,30
f53002,炒泡麵,中式料理,,1,75
f65001,熔岩巧克力,甜點,,1,65
f18002,炒地瓜葉,中式料理,,4,50
f61001,茴香炒蛋,中式料理,,2,50
f18003,山藥排骨湯,中式料理,,4,80
f46001,奶酪,甜點,,1,80
f23001,巧克力蛋糕,甜點,,4,50
f19001,甘梅地瓜,小點心,,1,50
f19002,炸冰淇淋吐司,甜點,,1,40
f73001,熱情九層塔煎蛋,中式料理,九層塔香氣搭配蛋香 很適合下飯,3,120
f58001,派對薯條,小點心,好吃的薯條,3,120
f71002,高麗菜熱流,小菜,,4,25
f02002,香蕉吐司捲,小點心,香蕉1根、雞蛋1顆、牛奶3湯匙、吐司2片、巧克力醬少許,1,35
f99002,番茄炒蛋,中式料理,蕃茄很營養,10,40
f38001,優格,甜點,,1,50
f25002,布丁,甜點,,1,20
f99003,茶碗蒸,日式料理,,0,0
f71001,熱戀豆腐,下飯菜,,6,35
f99001,辣椒醬,下飯菜,可以放三天,5,20
f99004,辣椒醬,下飯菜,可以放三天,0,5
f01001,馬鈴薯沙拉,日式料理,,4,15
f01002,奇異果養樂多,其他,,1,15
f25001,咖哩,其他,,1,100
f21001,白醬義大利麵,西式料理,白醬義大利麵,1,100
f09001,棉花糖可可,甜點,棉花糖可可,1,90
f27001,蔥油餅加蛋,早餐,,1,30
f21002,白醬濃湯,西式料理,白醬濃湯,1,100
f11001,糖醋吳郭魚,中式料理,預防憂鬱症、減輕癡呆、補血、降血壓,2,100
f11002,炒A菜,中式料理,助發育、消水腫,1,100
f34001,鄉村田園佐雞胸,西式料理,雞胸肉、米酒、蔥、鹽巴、番茄、魷魚片,1,350
f34002,香煎丁骨厚切豬排,西式料理,腰內肉、鹽巴、番茄、紅酒、毛豆、馬鈴薯,1,490
f09002,棉花糖巧克力吐司,甜點,香濃的巧克力醬配上融化的棉花糖好好吃,1,50
f31001,炒青菜,中式料理,好吃的炒青菜,2,100
f31002,紅蘿蔔蛋,中式料理,鮮紅色的紅蘿蔔加上金黃色的蛋，真的好好吃,2,100
f30001,荷包蛋,下飯菜,荷包蛋,1,10
f44001,培根捲金針菇,下飯菜,焦焦脆脆的培根捲上金針菇好好吃,3,100
f30002,肉蛋吐司,中式料理,肉蛋吐司,1,15
f44002,和風生菜沙拉,小菜,新鮮的生菜淋上和風醬好好吃,4,90
f39001,起司蛋,,,1,25
f32001,健康營養十足大沙拉,其他,煮雞蛋，放入萵苣蘋果丁奇異果玉米粒，擺盤完成,2,110
f2902,法式吐司,早餐,,1,25
f16002,鐵板麵,小菜,,0,35
f41001,雙降牛排(10OZ)(套餐),西式料理,建議5分熟，些微肉汁加血水，可以品嚐到肉質的甜味。,1,340
f22001,炸香蕉,小點心,,5,40
f39002,玉米濃湯,,,1,45
f2901,鬆餅,早餐,,1,35
